,Title_of_Video,Published_date,Views,Likes,Month
71,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,5592,206,Nov
72,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,39246,2208,Nov
73,Data Analyst Q&A LIVE #4,2020-10-30,2873,93,Oct
74,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,8380,372,Oct
75,Top 10 Udemy Courses for Data Analysts,2020-10-22,60545,2353,Oct
76,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,97364,3793,Oct
77,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,2600,133,Oct
78,Top 10 Coursera Courses for Data Analysts,2020-10-13,58232,3171,Oct
79,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,4472,250,Oct
80,Data Analyst Expectations vs Reality,2020-10-06,71394,2699,Oct
81,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,5849,231,Oct
82,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,18194,719,Sep
83,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,9599,475,Sep
84,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,214502,7014,Sep
85,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,18959,711,Sep
86,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,8376,353,Sep
87,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,6779,137,Sep
88,Live Data Analyst Q&A #3,2020-08-29,2022,83,Aug
89,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,96251,3696,Aug
90,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,494013,11128,Aug
91,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,14348,303,Aug
92,What Does a Data Analyst Actually Do?,2020-07-29,273811,6452,Jul
93,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,2809,137,Jul
94,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,31181,886,Jul
95,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,417330,11383,Jul
96,Best Free Online Courses for Data Analysts,2020-06-23,34583,1950,Jun
97,Best Online Courses for Data Analysts,2020-06-17,121286,6735,Jun
98,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,462638,15116,Jun
99,Intermediate SQL Tutorial | Aliasing,2020-06-04,12628,459,Jun
100,Data Analyst Q&A LIVE,2020-05-31,5065,166,May
101,Data Analyst Interviews | Salary Negotiation,2020-05-27,9202,341,May
102,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,19262,595,May
103,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,48860,1415,May
104,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,29328,693,May
105,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,11949,409,Apr
106,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,12552,404,Apr
107,Intermediate SQL Tutorial | Having Clause,2020-04-09,15138,532,Apr
108,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,33842,1046,Apr
109,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,26380,677,Mar
110,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,53183,1222,Mar
111,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,102731,2086,Mar
112,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,28779,1144,Mar
113,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,30589,810,Mar
114,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,46102,971,Mar
115,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,173751,3175,Mar
116,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,15906,603,Feb
117,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,12022,307,Feb
118,Data Analyst Salary in 2020,2020-02-19,6508,124,Feb
119,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,5564,274,Feb
120,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,37242,1397,Feb
121,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,42720,1509,Feb
122,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,37387,1048,Jan
123,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,7054,219,Jan
124,Data Analyst Salary | 100k with No Experience,2020-01-23,41942,1572,Jan
125,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,4731,187,Jan
126,Top 3 Data Analyst Skills in 2020,2020-01-17,20822,1068,Jan
